Time;ETH / Realized Market Cap (USD)
2016-08-14;711457749.0604581
2016-08-15;711015573.648404
2016-08-16;711683330.6542226
2016-08-17;703648308.9472861
2016-08-18;703157390.725189
2016-08-19;703971628.4576167
2016-08-20;707216116.2949059
2016-08-21;708890091.5022308
2016-08-22;709681918.8241934
2016-08-23;709733890.4256847
2016-08-24;710190884.3152027
2016-08-25;712841176.3917849
2016-08-26;712384110.699993
2016-08-27;713214204.7410655
2016-08-28;712360993.9136496
2016-08-29;713615627.5163612
2016-08-30;714831960.7232298
2016-08-31;716282871.7133996
2016-09-01;719584225.608652
2016-09-02;720761391.3021618
2016-09-03;721167537.1146764
2016-09-04;720876385.2087972
2016-09-05;725662920.8623251
2016-09-06;726485310.5282304
2016-09-07;726189566.7437241
2016-09-08;729583635.1677724
2016-09-09;731085414.7517228
2016-09-10;733426928.0830679
2016-09-11;734156099.5058682
2016-09-12;736598583.3854182
2016-09-13;737558469.168546
2016-09-14;738445750.3260524
2016-09-15;739072933.6082329
2016-09-16;749421293.6641805
2016-09-17;751118748.7948972
2016-09-18;750414900.6447223
2016-09-19;753331288.9480329
2016-09-20;783068174.5104382
2016-09-21;786546929.3830433
2016-09-22;790247490.5022752
2016-09-23;781505491.6850836
2016-09-24;780901819.5303532
2016-09-25;783004336.1853462
2016-09-26;783105908.2949582
2016-09-27;788509134.2608458
2016-09-28;803234292.9686667
2016-09-29;804629049.485446
2016-09-30;809502616.8750358
2016-10-01;811413136.3996242
2016-10-02;812752230.287159
2016-10-03;814640942.5563867
2016-10-04;815317865.9262708
2016-10-05;815723436.781111
2016-10-06;815211293.9312127
2016-10-07;810526838.0352739
2016-10-08;809566445.6205683
2016-10-09;809164485.8502681
2016-10-10;807702871.0448284
2016-10-11;808545594.7296052
2016-10-12;809041169.9011251
2016-10-13;809937253.2779858
2016-10-14;812745883.1412007
2016-10-15;813416859.2562166
2016-10-16;813778222.4806614
2016-10-17;814506031.4681718
2016-10-18;817018910.6984134
2016-10-19;815277495.7796683
2016-10-20;815806950.2117475
2016-10-21;816224059.9507978
2016-10-22;816731027.4777887
2016-10-23;817056939.3561518
2016-10-24;817287040.7033949
2016-10-25;806058360.2278528
2016-10-26;807833092.4672137
2016-10-27;807997019.5699033
2016-10-28;808698896.7629955
2016-10-29;806197837.0165826
2016-10-30;793105720.8743676
2016-10-31;792072299.9102613
2016-11-01;792535928.3482679
2016-11-02;793109928.5056757
2016-11-03;793724379.1153547
2016-11-04;794815999.1056391
2016-11-05;794619671.7443681
2016-11-06;794402082.994359
2016-11-07;793618319.3102032
2016-11-08;793680845.1859678
2016-11-09;793087166.7623107
2016-11-10;792594595.830931
2016-11-11;786936740.124602
2016-11-12;785186968.1822616
2016-11-13;785262769.7372545
2016-11-14;784958952.0204843
2016-11-15;784689954.8754157
2016-11-16;783523474.8291591
2016-11-17;782703822.2680353
2016-11-18;781535716.2593315
2016-11-19;781965121.9388628
2016-11-20;780345633.8145995
2016-11-21;779029675.1427267
2016-11-22;779401176.1002316
2016-11-23;779239908.0493286
2016-11-24;776785641.7679511
2016-11-25;777683415.4121118
2016-11-26;777035971.5727185
2016-11-27;775949859.1930702
2016-11-28;774935842.0448232
2016-11-29;772975692.7692112
2016-11-30;775246302.0783275
2016-12-01;774201118.7051123
2016-12-02;771115787.8555472
2016-12-03;744905809.4556842
2016-12-04;743151534.6367127
2016-12-05;739169279.9258521
2016-12-06;740872972.3072089
2016-12-07;747532318.151492
2016-12-08;745623298.6482368
2016-12-09;746142383.3304673
2016-12-10;744816397.312064
2016-12-11;745746819.7339606
2016-12-12;747668179.4090635
2016-12-13;744815791.0404937
2016-12-14;744445204.8345209
2016-12-15;743670803.5918391
2016-12-16;742841112.1975371
2016-12-17;738109322.3338073
2016-12-18;738502136.5833308
2016-12-19;735560523.9275733
2016-12-20;735868754.0790057
2016-12-21;736430941.1671554
2016-12-22;735216857.0955241
2016-12-23;728343742.7134523
2016-12-24;728677537.7154319
2016-12-25;729335170.2621759
2016-12-26;729169953.8453585
2016-12-27;728272224.7210733
2016-12-28;730434023.4936349
2016-12-29;733999197.1323594
2016-12-30;735542286.3218724
2016-12-31;735741937.9739071
2017-01-01;734673672.3191398
2017-01-02;736035521.0723714
2017-01-03;741146428.9597936
2017-01-04;749721286.811464
2017-01-05;748266829.1675627
2017-01-06;749905376.3065546
2017-01-07;762108109.4370013
2017-01-08;764238598.7034165
2017-01-09;769785935.6652186
2017-01-10;771156606.646562
2017-01-11;769409716.6041999
2017-01-12;765030693.9349598
2017-01-13;765576543.4285574
2017-01-14;766254612.392721
2017-01-15;767132407.8911372
2017-01-16;767634507.0362278
2017-01-17;773144458.0527984
2017-01-18;773598120.6877542
2017-01-19;775321587.3697475
2017-01-20;772413519.4564433
2017-01-21;773931766.3130971
2017-01-22;774421795.6106569
2017-01-23;775361515.7802365
2017-01-24;775241533.9146204
2017-01-25;775316727.014877
2017-01-26;776125290.9908764
2017-01-27;776099379.8481101
2017-01-28;776584980.1801974
2017-01-29;778173902.1435716
2017-01-30;778622889.7477409
2017-01-31;779645308.2808608
2017-02-01;780209634.1940475
2017-02-02;787770753.9535835
2017-02-03;788197014.0414447
2017-02-04;790946392.469013
2017-02-05;791381946.1844186
2017-02-06;792257326.5969677
2017-02-07;793607450.5959004
2017-02-08;795403636.355081
2017-02-09;794726191.8628246
2017-02-10;799883913.8824863
2017-02-11;801322004.6907887
2017-02-12;802294828.4109008
2017-02-13;802443444.0977453
2017-02-14;810468301.2607344
2017-02-15;816530612.589211
2017-02-16;834034453.4383488
2017-02-17;835144125.7486153
2017-02-18;836854256.4186693
2017-02-19;837516720.2959267
2017-02-20;839026077.1368902
2017-02-21;840934604.7440226
2017-02-22;841332595.6955227
2017-02-23;843570868.9978434
2017-02-24;844901116.4255166
2017-02-25;847059284.7701668
2017-02-26;852608209.7429471
2017-02-27;879043681.7711437
2017-02-28;884572537.1802795
2017-03-01;896950946.4051796
2017-03-02;965349979.2144426
2017-03-03;982643338.0568928
2017-03-04;981725296.6264741
2017-03-05;985503246.0372814
2017-03-06;991754149.2990825
2017-03-07;988741269.6276175
2017-03-08;970099696.7905388
2017-03-09;982661871.1771946
2017-03-10;992241997.0153664
2017-03-11;1005408207.5534558
2017-03-12;1017033254.1647991
2017-03-13;1086532404.8741024
2017-03-14;1187275487.0540936
2017-03-15;1238709728.7956991
2017-03-16;1387828169.4154165
2017-03-17;1476148941.5162663
2017-03-18;1414089278.5574648
2017-03-19;1473543250.2885988
2017-03-20;1499744962.9478335
2017-03-21;1526976628.0161812
2017-03-22;1528554374.093905
2017-03-23;1553273662.5242183
2017-03-24;1619183085.6061
2017-03-25;1629028516.8786054
2017-03-26;1652848304.4568405
2017-03-27;1769723565.8599575
2017-03-28;1796536339.867852
2017-03-29;1940951214.4380267
2017-03-30;2156721240.839418
2017-03-31;2176575330.4523935
2017-04-01;2197357275.9123406
2017-04-02;2198611999.0362916
2017-04-03;2136694904.6956499
2017-04-04;2143160822.9479396
2017-04-05;2165819984.3717003
